yy;mm;SiteID;spi
1981;02;5632;NA
1981;02;5634;NA
1981;02;5640;NA
1981;02;5646;NA
1981;02;5647;NA
1981;02;5649;NA
1981;02;5651;NA
1981;02;10;NA
1981;02;210;NA
1981;02;221;NA
1981;02;222;NA
1981;02;225;NA
1981;02;227;NA
1981;02;228;NA
1981;02;23;NA
1981;02;247;NA
1981;02;250;NA
1981;02;31;NA
1981;02;349;NA
1981;02;37;NA
1981;02;39;NA
1981;02;4;NA
1981;02;408;NA
1981;02;41;NA
1981;02;5;NA
1981;02;50;NA
1981;02;61;NA
1981;02;8;NA
1981;02;6510;NA
1981;02;6511;NA
1981;02;6512;NA
1981;02;6516;NA
1981;02;6521;NA
1981;02;6528;NA
1981;02;6529;NA
1981;02;6541;NA
1981;02;6543;NA
1981;02;6546;NA
1981;02;6547;NA
1981;02;6561;NA
1981;02;6564;NA
1981;02;6569;NA
1981;02;6570;NA
1981;02;6576;NA
1981;02;6591;NA
1981;02;6594;NA
1981;02;6598;NA
1981;02;6601;NA
1981;02;6602;NA
1981;02;6615;NA
1981;02;6638;NA
1981;02;6639;NA
1981;02;6640;NA
1981;02;44;NA
1981;02;5675;NA
1981;02;5677;NA
1981;02;5678;NA
1981;02;5679;NA
1981;02;5680;NA
1981;02;5681;NA
1981;02;5682;NA
1981;02;5683;NA
1981;02;5687;NA
1981;02;5688;NA
1981;02;5689;NA
1981;02;5690;NA
1981;02;5691;NA
1981;02;5692;NA
1981;02;5693;NA
1981;02;5696;NA
1981;02;5697;NA
1981;02;5698;NA
1981;02;5699;NA
1981;02;5700;NA
1981;02;5703;NA
1981;02;5704;NA
1981;02;5705;NA
1981;02;5707;NA
1981;02;5708;NA
1981;02;5709;NA
1981;02;5710;NA
1981;02;5711;NA
1981;02;5712;NA
1981;02;5713;NA
1981;02;5714;NA
1981;02;5715;NA
1981;02;5716;NA
1981;02;5717;NA
1981;02;5718;NA
1981;02;5720;NA
1981;02;5721;NA
1981;02;5722;NA
1981;02;5723;NA
1981;02;5725;NA
1981;02;5726;NA
1981;02;5727;NA
1981;02;5728;NA
1981;02;5729;NA
1981;02;5732;NA
1981;02;5733;NA
1981;02;5734;NA
1981;02;5735;NA
1981;02;5736;NA
1981;02;5737;NA
1981;02;5738;NA
1981;02;5739;NA
1981;02;5740;NA
1981;02;5741;NA
1981;02;5742;NA
1981;02;5743;NA
1981;02;5744;NA
1981;02;5745;NA
1981;02;5746;NA
1981;02;5747;NA
1981;02;5748;NA
1981;02;5752;NA
1981;02;5753;NA
1981;02;5754;NA
1981;02;5755;NA
1981;02;5756;NA
1981;02;5758;NA
1981;02;5759;NA
1981;02;5760;NA
1981;02;5761;NA
1981;02;5763;NA
1981;02;5764;NA
1981;02;5766;NA
1981;02;5769;NA
1981;02;5770;NA
1981;02;5771;NA
1981;02;5772;NA
1981;02;5773;NA
1981;02;5774;NA
1981;02;5775;NA
1981;02;5776;NA
1981;02;5777;NA
1981;02;5779;NA
1981;02;5780;NA
1981;02;5781;NA
1981;02;5783;NA
1981;02;5784;NA
1981;02;5786;NA
1981;02;5797;NA
1981;02;5798;NA
1981;02;5799;NA
1981;02;5800;NA
1981;02;5801;NA
1981;03;6718;-1.0507760578241374
1981;03;6720;-1.3674116442341535
1981;03;6721;-1.029280772583729
1981;03;6723;-0.544332577487753
1981;03;6729;-0.04155137568182807
1981;03;6730;0.05270447342455062
1981;03;6733;-0.046912630009734446
1981;03;6736;0.10299672094865925
1981;03;6768;-0.05937550234660174
1981;03;6769;-0.4286617531877908
1981;03;6771;-0.6424907343560963
1981;03;102;0.08030746594646791
1981;03;110;-1.128906399799434
1981;03;135;NA
1981;03;149;-0.9704691647529872
1981;03;150;-0.031728773923123225
1981;03;166;NA
1981;03;172;-0.01442384549205186
1981;03;176;0.29953435272645745
1981;03;18;0.8729525857154674
1981;03;197;0.39433632987610656
1981;03;203;0.6406456084405185
1981;03;206;NA
1981;03;223;-0.40377326489332244
1981;03;49;NA
1981;03;77;0.6286548542401617
