SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione;SpiID
43;San vito al tgl.;SAN;45.895661;12.814989;21;friuliveneziagiulia;friuliveneziagiulia_43
46;Talmassons;TAL;45.882311;13.155779;16;friuliveneziagiulia;friuliveneziagiulia_46
47;Tarvisio;TAR;46.510775;13.551886;794;friuliveneziagiulia;friuliveneziagiulia_47
51;Trieste molo f.lli bandiera;TRI;45.649996;13.752242;1;friuliveneziagiulia;friuliveneziagiulia_51
53;Vivaro;VIV;46.076529;12.768814;142;friuliveneziagiulia;friuliveneziagiulia_53
5884;Manie;00390;44.19325;8.37883;297;liguria;liguria_5884
5937;Statale;00940;44.348694;9.483389;570;liguria;liguria_5937
7144;Pian dei Ratti;00872;44.3937;9.271;70;liguria;liguria_7144
14233;Diga del Brugneto;OPENDATA101;44.53393;9.20825;856;liguria;liguria_14233
14437;Santo Stefano d'Aveto;OPENDATA305;44.54591;9.45005;1073;liguria;liguria_14437
6000;Pavia;00817;45.185556;9.151389;80;lombardia;lombardia_6000
6031;Varese;00907;45.8325;8.823611;412;lombardia;lombardia_6031
5647;PALLANZA;00641;45.925;8.55;214;piemonte;piemonte_5647
5649;DOMODOSSOLA;00117;46.104;8.303;255;piemonte;piemonte_5649
5651;ALPE DEVERO;00154;46.317;8.261;1700;piemonte;piemonte_5651
8;Badia Prataglia;TOS01000621;43.7942;11.876816;935;toscana;toscana_8
10;La Verna;TOS01000639;43.706911;11.931335;1053;toscana;toscana_10
27;Monte di Fo';TOS01000916;44.079632;11.280845;792;toscana;toscana_27
31;Ponte a Olmo;TOS01000931;44.049072;11.304384;506;toscana;toscana_31
37;Villore;TOS01001011;43.966733;11.546251;513;toscana;toscana_37
50;Cantagallo;TOS01001151;44.023971;11.083228;494;toscana;toscana_50
52;Vernio;TOS01001171;44.04747;11.156912;316;toscana;toscana_52
221;Boscolungo;TOS02000351;44.139094;10.67354;1374;toscana;toscana_221
222;Melo;TOS02000359;44.131362;10.743544;1088;toscana;toscana_222
225;Selva dei Porci;TOS02000401;44.077198;10.813551;923;toscana;toscana_225
227;S. Marcello Pistoiese;TOS02000431;44.055275;10.788086;610;toscana;toscana_227
228;Prunetta;TOS02000441;44.008489;10.80397;1012;toscana;toscana_228
250;Casotti di Cutigliano;TOS02004215;44.098219;10.751581;640;toscana;toscana_250
408;Villacollemandina;TOS10000200;44.161529;10.387754;535;toscana;toscana_408
6510;Levico (Terme);10;46.010585;11.304882;502;trentino;trentino_6510
6541;Pezze' di Moena (Diga);96;46.383662;11.664561;1205;trentino;trentino_6541
6561;Trento (Roncafort);135;46.095667;11.101279;194;trentino;trentino_6561
6638;Passo Tonale T0360;360;46.261915;10.635572;1880;trentino;trentino_6638
6639;Pejo Frana;366;46.364472;10.678177;1580;trentino;trentino_6639
6640;Cavalese (meteotrentino);367;46.284762;11.451794;958;trentino;trentino_6640
